agent;autres;colloques;etude_terrain;total;statut
75;0;51,95019273;96,47892935;148,4291221;externes
76;0;73,06857042;135,6987736;208,7673441;externes
77;0;772,4155736;784,3251817;1556,740755;doc_postdoc
78;0;53,11389265;172,1902262;225,3041189;Associés/autres
79;0;412,4799118;7529,475227;7941,955139;permanents
80;0;4053,035408;9789,890059;13842,92547;externes
81;161,4584583;0;0;161,4584583;externes
82;0;1,376223691;0;1,376223691;externes
83;354,4959701;579,181275;330,1784826;1263,855728;permanents
84;0;68,93908138;128,0297226;196,9688039;externes
85;0;0;3,094596896;3,094596896;doc_postdoc
86;0;40,55366972;75,31395805;115,8676278;Associés/autres
87;0;0;2262,824301;2262,824301;permanents
88;0;1,857547217;3,449730546;5,307277763;externes
89;0;1259,399527;4891,119585;6150,519112;doc_postdoc
90;0;0;439,8886608;439,8886608;externes
91;0;0;18,37414049;18,37414049;externes
92;0;0;96,52237009;96,52237009;permanents
93;327,8336875;0;0;327,8336875;externes
94;352,5856156;0;0;352,5856156;externes
95;0;0,764662926;1,420088291;2,184751218;externes
96;0;152,8003839;283,7721415;436,5725254;externes
97;0;64,12260216;119,0848326;183,2074347;externes
98;0;30,41280089;56,48091594;86,89371683;externes
99;547,134525;141,9081664;263,5437375;952,5864289;externes
100;0;1772,204609;1793,546339;3565,750949;permanents
101;0;234,6693248;0;234,6693248;externes
102;0;18,71694479;34,76004033;53,47698512;externes
103;0;23,24544361;0;23,24544361;permanents
104;0;521,3102024;0;521,3102024;externes
105;0;1449,801712;0;1449,801712;permanents
106;4,655187288;0;0;4,655187288;externes
107;0;450,1544714;0;450,1544714;Associés/autres
108;3253,630644;960,6447123;0;4214,275357;permanents
109;0;0,378382109;0,702709632;1,081091741;externes
110;0;569,5914439;1057,812682;1627,404126;Associés/autres
111;0;430,7231225;0;430,7231225;externes
112;3775,820813;1973,083165;3408,750897;9157,654875;permanents
113;0;250,2530207;464,7556098;715,0086305;externes
114;0;560,8594527;2644,051705;3204,911158;doc_postdoc
115;0;5,802139153;10,77540128;16,57754044;externes
116;0;0;77,86886566;77,86886566;Associés/autres
117;0;0;97,05606701;97,05606701;Associés/autres
118;0;80,16104724;508,2802335;588,4412808;externes
119;0;1,633240004;3,033160007;4,666400011;externes
120;511,3198841;0;0;511,3198841;externes
121;0;313,5152393;1232,693599;1546,208838;permanents
122;0;290,9587002;0;290,9587002;externes
123;0;149,5997251;753,9904616;903,5901867;externes
124;0;9,723584254;0;9,723584254;Associés/autres
125;0;235,8715977;0;235,8715977;externes
126;352,5856156;1803,951685;2184,0558;4340,593101;permanents
127;0;0;3744,522787;3744,522787;Associés/autres
128;0;11,07275272;20,56368362;31,63643634;externes
129;538,1259194;636,554457;1182,172563;2356,852939;externes
130;0;0;581,8678399;581,8678399;externes
131;0;504,1766769;1412,841093;1917,01777;permanents
132;2,107411144;0;0;2,107411144;externes
133;384,6557361;0;0;384,6557361;externes
134;0;40,50631344;0;40,50631344;externes
135;0;945,7360522;0;945,7360522;permanents
136;0;1201,787632;2231,891317;3433,678949;Associés/autres
137;0;170,5759216;316,7838544;487,3597761;externes
138;83,43738518;344,1627393;647,018027;1074,618151;permanents
139;0;0;4,655187288;4,655187288;externes
140;0;0;562,7011854;562,7011854;doc_postdoc
141;0;10,5254854;0;10,5254854;doc_postdoc
142;0;2,040637389;3,789755151;5,830392539;externes
143;0;92,94508889;172,6123079;265,5573968;externes
144;485,8111962;679,1352795;544,8575848;1709,804061;doc_postdoc
145;0;0;2262,824301;2262,824301;externes
146;0;180,965199;0;180,965199;externes
147;0;0,544398845;1,011026426;1,555425271;externes
148;0;1,389508687;2,580516133;3,970024819;externes
149;0;709,6629884;1317,94555;2027,608538;externes
150;810,599099;1002,289652;0;1812,888752;externes
151;353,1318365;0;0;353,1318365;externes
152;0;585,4814713;1087,322732;1672,804204;Associés/autres
153;0;971,1160439;1803,501224;2774,617268;permanents
154;130,1092795;0;0;130,1092795;permanents
155;884,6825022;0;420,95786;1305,640362;externes
156;5,799676176;0;0;5,799676176;externes
157;2,872072148;0;0;2,872072148;externes
158;0;429,6366423;0;429,6366423;externes
159;0;152,8003839;283,7721415;436,5725254;externes
160;0;2196,995569;1057,812682;3254,808251;externes
161;0;1,338129694;2,485098003;3,823227697;externes
162;0;170,297333;316,2664755;486,5638084;externes
163;0;0;1143,126172;1143,126172;externes
164;0;76,70204175;0;76,70204175;externes
165;0;1,75462573;6,554806371;8,309432101;externes
166;0;337,250855;220,7371926;557,9880476;permanents
167;0;0;2697,186075;2697,186075;permanents
168;0;0;353,1318365;353,1318365;externes
169;41,97857684;123,4049655;275,0375098;440,4210521;permanents
170;0;450,8833628;0;450,8833628;externes
